time [day]	pore area covered [%]
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
	
1	0.0003581005
1	0.0002839778
1	0.0004906482
1	0.2064443
1	0.1142617
1	0.0004752074
1	0.0003507087
1	0.000278836
1	0.0004742442
1	0.00052185
1	0.1440296
1	0.0006172704
1	0.03076485
1	0.0005794391
1	0.001338714
1	0.001850871
1	0.1844324
1	0.0009629782
1	0.00076067
1	0.000777271
1	0.0007583616
1	0.0007543376
1	0.0008414596
1	0.3683838
1	0.2755121
1	0.08065343
1	0.2868537
	
4	2.486364
4	0.5584794
4	1.096899
4	0.821446
4	0.4636504
4	3.039429
4	8.319623
4	1.006555
4	2.576894
4	4.22921
4	3.778595
4	0.5832274
4	0.1897919
4	0.9616491
4	1.045543
4	2.919785
4	1.886323
4	5.317458
4	0.09300264
4	0.2617122
4	0.6209942
4	0.9358589
4	0.9934303
4	0.7624739
4	3.460916
4	3.426271
4	2.988495
	
7	23.61026
7	31.4763
7	24.44092
7	26.86163
7	22.61368
7	20.93268
7	12.3316
7	22.13557
7	15.13362
7	7.880533
7	27.6267
7	26.65057
7	22.45591
7	25.71247
7	29.60192
7	29.89673
7	22.83441
7	27.74794
7	20.79213
7	17.7193
7	19.30301
7	14.90014
7	16.30728
7	16.70524
7	20.72005
7	19.71496
7	17.03396
	
10	19.01689
10	16.65824
10	16.57032
10	25.21192
10	20.6357
10	17.91248
10	20.49152
10	21.10104
10	16.87125
10	8.515168
10	10.54958
10	18.02042
10	12.95504
10	20.0295
10	28.07795
10	15.30259
10	20.5163
10	37.11141
10	21.51458
10	32.84582
10	32.88054
10	22.05539
10	24.88165
10	26.36013
10	23.9158
10	23.20733
10	27.88637
	
14	100.8259
14	100.8122
14	100.9923
14	100.8651
14	100.7936
14	101.1171
14	100.379
14	100.7868
14	100.9767
14	81.47635
14	51.41955
14	52.78791
14	100.7043
14	83.94466
14	57.03327
14	71.09473
14	42.64793
14	99.16204
14	2.817361
14	8.0148
14	10.81535
14	10.1291
14	12.37723
14	6.854844
14	12.02034
14	12.27187
14	2.068759
	
18	100.523
18	100.6032
18	100.5199
18	100.428
18	100.5599
18	100.532
18	100.397
18	100.5301
18	68.15443
18	100.572
18	100.5809
18	100.5716
18	100.504
18	100.5027
18	99.07554
18	100.5871
18	93.6179
18	100.5802
	
28	100.667
28	100.7538
28	100.7171
28	100.6642
28	100.7266
28	100.6583
28	100.5903
28	100.6571
28	100.6794
28	100.8522
28	100.8759
28	100.7942
28	100.8262
28	100.832
28	100.814
28	100.8362
28	100.8154
28	100.7879
28	100.7498
28	100.7144
28	100.808
28	100.8355
28	100.7331
28	100.8933
28	100.8693
28	100.8023
28	100.8976
