time [day]	pore area covered [%]
1	0.0006838475
1	0.06271356
1	0.1902922
1	0.8729345
1	0.1870851
1	0.1304583
1	0.118611
1	0.307855
1	0.155013
1	0.1721138
1	0.09886656
1	0.353728
1	0.0003513281
1	0.8448605
1	0.3181263
1	0.07549405
1	0.5055492
1	0.1765828
1	0.3992698
1	0.001261425
1	0.001275958
1	0.001163954
1	0.001204391
1	0.001390471
1	0.2301043
1	0.1188962
1	0.001567323
	
4	0.4266178
4	0.833423
4	0.000967233
4	0.0009119302
4	0.08885449
4	0.6633356
4	1.244771
4	0.08610378
4	0.1774132
4	2.361811
4	3.922476
4	1.268132
4	1.486813
4	9.784989
4	2.777183
4	2.500385
4	1.137017
4	1.46156
4	1.419768
4	0.5934735
4	0.05198658
4	0.6058411
4	0.0003404776
4	0.1528739
4	0.6150741
4	0.2261354
4	0.3995332
	
7	0.9539336
7	6.49691
7	8.963381
7	1.782636
7	3.519076
7	0.4379143
7	8.163094
7	1.07189
7	10.33299
7	0.357411
7	0.0001320278
7	0.04963278
7	10.4452
7	7.80E-05
7	0.865404
7	0.1648904
7	0.2958726
7	6.393598
7	3.73356
7	7.897652
7	6.580514
7	10.95116
7	10.00846
7	9.625311
7	17.37043
7	16.0424
7	13.20616
	
10	7.749481
10	12.87378
10	14.76561
10	7.512766
10	11.64418
10	9.29862
10	5.100269
10	10.6347
10	9.393698
10	28.71244
10	26.95202
10	13.38793
10	27.19476
10	19.80282
10	13.92202
10	42.84649
10	45.31818
10	21.89738
10	14.17133
10	18.56198
10	20.0621
10	10.19206
10	16.27465
10	13.72324
10	17.58057
10	8.68007
10	12.83448
	
14	15.69765
14	17.72471
14	23.74009
14	18.10956
14	27.30007
14	21.34318
14	22.19471
14	17.72755
14	18.62881
14	19.74527
14	14.06709
14	12.93233
14	11.31956
14	14.53871
14	6.483078
14	5.763534
14	7.93972
14	8.66485
14	21.81862
14	16.70172
14	20.17287
14	25.47605
14	18.64633
14	24.87227
14	28.43545
14	24.13365
14	34.62566
	
18	26.60386
18	38.84967
18	35.31791
18	21.09377
18	57.7231
18	30.72798
18	24.75707
18	28.21096
18	27.83732
18	100.2036
18	100.1757
18	67.29884
18	38.44787
18	23.26203
18	21.7533
18	20.69574
18	40.41482
18	60.02581
	
28	40.38501
28	39.36763
28	56.11922
28	100.3872
28	73.38557
28	91.22277
28	100.4231
28	100.4256
28	100.481
28	100.2033
28	100.2717
28	100.1923
28	100.2013
28	100.239
28	100.1985
28	100.2022
28	100.2246
28	100.2003
28	92.66244
28	100.4344
28	100.4059
28	100.4503
28	61.06391
28	55.3751
28	100.4346
28	100.4419
28	100.4103
