# time [day] | pore area covered [%] | pore size
0	0	250
1	0.4747	250
4	5.713	250
7	14.39	250
10	65.26	250
14	100.9	250
18	101.3	250
28	101.1	250

0	0	350
1	0.2271	350
4	3.654	350
7	10.94	350
10	35.46	350
14	94.46	350
18	101.1	350
28	100	350

0	0	450
1	0.0631	450
4	2.031	450
7	21.6	450
10	21.52	450
14	60.19	450
18	98.27	450
28	100.8	450

0	0	550
1	0.1973	550
4	1.27	550
7	5.767	550
10	17.08	550
14	18.47	550
18	42.41	550
28	89.47	550

0	0	650
1	0.1149	650
4	0.6549	650
7	4.576	650
10	14.28	650
14	31.32	650
18	61.95	650
28	90.48	650

